city,date,temp,humidity,description,temp_transformed,humidity_transformed
Patiala,2025-04-24 02:30:00,25.82,9,clear sky,0.4304966985529503,-1.394446222541724
Patiala,2025-04-24 05:30:00,25.32,10,clear sky,0.39508768319006987,-1.3758555502587615
Patiala,2025-04-24 08:30:00,33.42,6,clear sky,0.9415056706680047,-1.4471911517938352
Patiala,2025-04-24 11:30:00,41.3,3,clear sky,1.4282022813663138,-1.4942313660430069
Patiala,2025-04-24 14:30:00,42.36,3,few clouds,1.4909645509725045,-1.4942313660430069
Patiala,2025-04-24 17:30:00,40.72,4,few clouds,1.3936111399217566,-1.4793171543156147
Patiala,2025-04-24 20:30:00,32.48,6,scattered clouds,0.8807817029940704,-1.4471911517938352
Patiala,2025-04-24 23:30:00,29.16,7,few clouds,0.6609873521666899,-1.4301570557989034
Patiala,2025-04-25 02:30:00,26.42,8,clear sky,0.4726624441128648,-1.4125596726899778
Patiala,2025-04-25 05:30:00,24.59,10,clear sky,0.34293406147381955,-1.3758555502587615
Patiala,2025-04-25 08:30:00,32.51,5,broken clouds,0.8827294999042662,-1.4636031077720066
Patiala,2025-04-25 11:30:00,40.31,3,broken clouds,1.3690499092872541,-1.4942313660430069
Patiala,2025-04-25 14:30:00,42.38,3,overcast clouds,1.4921431787956376,-1.4942313660430069
Patiala,2025-04-25 17:30:00,41.16,3,overcast clouds,1.4198690648393488,-1.4942313660430069
Patiala,2025-04-25 20:30:00,32.53,4,clear sky,0.8840276679268326,-1.4793171543156147
Patiala,2025-04-25 23:30:00,29.92,5,clear sky,0.7120710560015823,-1.4636031077720066
Patiala,2025-04-26 02:30:00,27.07,6,clear sky,0.5179534588872945,-1.4471911517938352
Patiala,2025-04-26 05:30:00,25.45,9,clear sky,0.4043181138759935,-1.394446222541724
Patiala,2025-04-26 08:30:00,33.52,5,scattered clouds,0.9479288465498364,-1.4636031077720066
Patiala,2025-04-26 11:30:00,41.47,3,broken clouds,1.438307296656175,-1.4942313660430069
Patiala,2025-04-26 14:30:00,42.97,3,overcast clouds,1.5268215884667502,-1.4942313660430069
Patiala,2025-04-26 17:30:00,41.3,3,overcast clouds,1.4282022813663138,-1.4942313660430069
Patiala,2025-04-26 20:30:00,33.13,4,overcast clouds,0.9228387676128845,-1.4793171543156147
Patiala,2025-04-26 23:30:00,29.32,6,overcast clouds,0.6717815621244999,-1.4471911517938352
Patiala,2025-04-27 02:30:00,27.8,8,clear sky,0.5683524871375609,-1.4125596726899778
Patiala,2025-04-27 05:30:00,27.5,16,clear sky,0.5476992210376445,-1.2558297266002225
Patiala,2025-04-27 08:30:00,34.76,11,clear sky,1.0270054618603868,-1.3568202516777268
Patiala,2025-04-27 11:30:00,41.66,7,clear sky,1.4495832057982312,-1.4301570557989034
Patiala,2025-04-27 14:30:00,43.36,4,clear sky,1.5496488555141208,-1.4793171543156147
Patiala,2025-04-27 17:30:00,42.42,4,clear sky,1.4944998233432978,-1.4793171543156147
Seattle,2025-04-22 20:30:00,5.83,84,clear sky,-1.309731342216294,0.6192080076716768
Seattle,2025-04-22 23:30:00,8.14,75,clear sky,-1.0525023874291857,0.33526246883741484
Seattle,2025-04-23 02:30:00,12.35,55,clear sky,-0.6396690893828286,-0.2636279010610174
Seattle,2025-04-23 05:30:00,15.73,38,clear sky,-0.3430471505851659,-0.7308719608785819
Seattle,2025-04-23 08:30:00,11.13,58,clear sky,-0.7535068308966351,-0.17689134393136569
Seattle,2025-04-23 11:30:00,7.06,69,clear sky,-1.1692933504655771,0.15070371238284228
